Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:1	idm169144					 This poetic prologue reflects the message of the prologue to John’s Gospel (*John 1:1-18*). • The **we** that occurs throughout the prologue refers to John and the other apostles, and perhaps to other Christians who had **seen** and **touched** Jesus Christ. The apostles were among the eyewitnesses of Jesus and had personal fellowship with God through him. John, representing the apostles, now invites readers to join in that fellowship.\n\n
1:1	idm169154					 **We proclaim to you the one who existed from the beginning:** That is, from before time began, eternally (*John 8:58*). When Jesus came in the flesh (*John 1:14*), the apostles **saw him . . . and touched him**. This affirmation that they actually touched **the Word of life** is important because Gnosticism and Docetism (early Christian heresies) denied that Christ was truly a human being (see *1 Jn 4:2-3*). Jesus, the Son of God, is the personal expression of the invisible God, and the giver of eternal life (*John 1:1-4*).\n\n
1:2	idm169167					 **life itself** (Greek zōē): Throughout the New Testament, this word is used to designate the eternal life of God (e.g., *Eph 4:18*). This life resides in Christ, and he makes it available to all who believe in him. • **This one . . . was revealed to us:** Jesus, the Christ, was known to his apostles as a human being during his earthly ministry.\n\n
1:3	idm169177					 **what we . . . have actually seen:** The Word of life had, as a man, revealed God to the apostles. • **our fellowship is with the Father and with his Son:** Once the Spirit regenerated the apostles, they entered into spiritual fellowship with the Father and the Son. • **you may have fellowship with us:** Whoever entered into fellowship with the apostles by associating with them while they were alive, or enters now by remaining in their teaching, has fellowship with the Father and the Son through them.\n\n
1:4	idm169186					 **so that you may fully share our joy:** The *joy* that the apostles have comes from their fellowship with God the Father and the Son (*1:3*). Readers will *share* this joy when they enter into the same fellowship.\n\n
1:5	idm169196					 Here John focuses on the first aspect of living in fellowship with God. **Living in the light** means that the believers will see that they are sinners, but they will also realize that Jesus is their Advocate to make them right with God (see *Eph 5:6-13*).\n\n
1:5	idm169204					 **God is light:** This *light* shone through Jesus Christ to all he came in contact with, to expose their sin and to illumine the moral nature and character of God (see *John 1:4-5*, *9*; *3:19-21*; *8:12*; *9:5*; *12:35-36*, *46*). In the writings of John, “light” represents God’s holiness and revelation. It is the opposite of false teaching and undisciplined living, which is “darkness” (*1 Jn 1:6*).\n\n
1:6	idm169220					 This is the first of several instances in which John challenges the claims of the Gnostics, who had broken away from the apostolic fellowship and were thus **living in spiritual darkness**. They claimed to have **fellowship with God** but did not express his character, which is light. Jesus had warned the Jewish leaders of his day not to let the light they thought they had be darkness (*Matt 6:23*)—their religious beliefs had blinded them to the spiritual illumination they could have received from Christ. In like manner, these Gnostic teachers thought they were enlightened but were actually darkened by their so-called illuminations. They claimed to have spiritual experiences from God, yet they rejected fellowship with the ones who had actually seen God in the flesh, namely, John and the other apostles.\n\n
1:7	idm169229					 Believers have **fellowship** with each other and with God as they live **in the light**. People cannot say they commune with God and then refuse to have fellowship with God’s people. This was the case with the Gnostics. The apostles of Christ had known Jesus Christ as God-in-the-flesh and were continuing to have spiritual fellowship with him (*1:3*).\n\n
1:8	idm169238					 **If we claim we have no sin:** This is the second false claim of the Gnostics (see *1:6*). They claimed that they were or could be sinless since Christ had abolished their sins once and for all—their higher knowledge would lift them above the realm of sin. But Christians do still sin when they live in their old nature (see *Rom 7:14-25*). The true Christian both acknowledges this sin (*1 Jn 1:9*) and trusts in Christ to take it away.\n\n
1:9	idm169248					 To maintain continual fellowship with God, we need to **confess our sins to him**. Forgiveness and cleansing are guaranteed because God is **faithful** to his promises and because he acts on the basis of his justice. Christ’s death for our sins fulfills God’s justice and acquits us of our guilt.\n\n
1:10	idm169256					 **If we claim we have not sinned, we are calling God a liar:** God’s word emphasizes the permeating and penetrating nature of sin (see *study note on 1:8*).\n\n
2:1	idm169264					 In order to live “in the light” (*1:5-7*), one must confess sin (*1:9*) and stop sinning. John emphasizes sin in ch *1* in order to make believers despise their sin and avoid it. • **if anyone does sin:** Believers should repudiate sin, but they should not fear confessing sins to God. • **advocate** (Greek paraklētos*,* “one who is called to our side” as comforter or advocate): Christ is our defense attorney, representing us before the Father in heaven (see *Rom 8:26-34*; cp. *John 14:16*). • **Jesus Christ, the . . . righteous:** We, in contrast, are sinful. Because Christ fulfilled the law and paid sin’s penalty for us, he can plead for us on the basis of justice as well as mercy. When God raised Christ from the dead, he accepted once for all Christ’s plea for our acquittal (see *Rom 4:23-25*). “The righteousness of Christ stands on our side; for God’s righteousness is, in Jesus Christ, ours” (Martin Luther).\n\n
2:2	idm169281					 **sacrifice that atones:** The Greek word hilasmos means “appeasement by means of sacrifice” (cp. *4:10*). Christ satisfied God’s justice by dying in our place (*Rom 3:25*).\n\n
2:3	idm169291					 Obedience is one clear indication that we know Christ and belong to him. If we do not obey Christ, it is obvious that we do not belong to him or love him. • As we obey Christ and his **commandments***,* our love for God and our knowledge of him will grow toward completeness and maturity. We will **live ***. . .*** as Jesus did***,* in union with God and showing love for others.\n\n
2:7	idm169303					 The disciples had the **old** commandment (to love one another) **from the very beginning***,* from Jesus himself (*John 13:34-35*) and from the Old Testament (*Lev 19:18*, *33-34*).\n\n
2:8	idm169315					 **Yet it is also new:** Jesus’ command provided the new basis for their love in his own demonstration of love to the disciples (*John 13:1-17*). • **the darkness is disappearing and the true light is already shining:** The light of the Good News expels darkness. Darkness cannot overcome it, especially where believers are living out the love that is in Christ.\n\n
2:9	idm169324					 Another indication of truly knowing Christ is one’s treatment of other Christians. John is again pointing to those who claim to be spiritually enlightened but separate themselves from other Christians with an attitude of superiority. John defines such an attitude as hatred.\n\n
2:9	idm169330					 **a fellow believer:** Literally *his brother.* The Greek word adelphos (also in *2:11*) is a generic term often used to refer to both male and female members of the same family.\n\n
2:10	idm169340					 To **cause others to stumble** can also mean to ensnare or entrap them. The Greek word skandalon means a trap or a block in someone’s path. The Gnostics, who taught falsehood about Christ, were hindering people by ensnaring them in error and darkness. • **living in the light:** A godly life will help, not hinder, the faith of other Christians.\n\n
2:12	idm169349					 John gives three classes of believers at various stages of spiritual maturity: **God’s children***,* the **young in the faith** (literally *young people*), and the **mature in the faith** (literally *fathers*).\n\n
2:15	idm169361					 The **world** is a morally evil system that is under the influence of Satan and is opposed to God and to Christ’s Kingdom on this earth (*2:16*; *3:1*; *4:4*; *5:19*; *John 12:31*; *15:18*; *Eph 6:11-12*; *Jas 4:4*). The world appeals to people’s fleshly desires and thereby diverts them from God. Those who are **from this world** need God to redeem them from it.\n\n
2:18	idm169377					 **Antichrist** literally means “instead of Christ”; he claims for himself what belongs to Christ and poses as a substitute for Christ (cp. *2 Thes 2:3* and *Rev 13:1-10*). • **many such antichrists have appeared:** They are the false teachers who deny that Jesus is the Christ, God’s Son (*1 Jn 2:22-23*), God in the flesh (*4:2*; *2 Jn 1:7*).\n\n
2:19	idm169390					 **These people left our churches:** This is John’s first direct statement about the false teachers. At one point, they had been part of the church community, in fellowship with John and the other apostles. Then they left that fellowship and evidently formed a separate, exclusive community based on their false teachings about Jesus (see *4:1*; *2 Jn 1:7*; *3 Jn 1:9-10*). • **they never really belonged with us:** True believers would have stayed in fellowship with the apostles and remained faithful to their teachings.\n\n
2:20	idm169401					 **for the Holy One has given you his Spirit:** The Holy Spirit gives believers the ability to understand and recognize spiritual truth (see *Isa 61:1*; *Acts 10:38*; *2 Cor 1:21-22*). Those who have the Spirit **know the truth** about the Father and the Son and can detect what does not accord with the truth of the apostles’ teaching.\n\n
2:22	idm169412					 John marks out as **a liar** any false teacher who denies that Jesus is the Christ, the Son of God, the unique revealer of the Father (*4:2*).\n\n
2:24	idm169420					 John instructs his readers to resist the lies of such antichrists and to **remain faithful** to the truth that he and the other apostles have proclaimed to them. If they would do this, then they would **remain in fellowship with the Son and with the Father** and have assurance of **eternal life** (*John 3:15*, *36*; *6:40*, *47*, *57*; *17:2-3*).\n\n
2:28	idm169435					 To **remain in fellowship with Christ** means, in part, not being misled by any kind of false teaching. If John’s readers listen to the false teachers, they will not be in fellowship with Christ and will have reason to **shrink back from him in shame** when he returns, because of the judgment coming upon them.\n\n
3:1	idm169443					 When Christ returns, **we will be like him, for we will see him as he really is**. God’s children bear the image of Christ and will share in his glory (see *Rom 8:18-30*). • Those who have this hope **keep themselves pure***,* seeking to become more like Christ in anticipation of his glorious appearing. It is partly for this reason that God’s children will not be ashamed when Christ comes (*1 Jn 2:29*).\n\n
