Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:1	idm49195					 David had asked that the Lord be with **Solomon** (*1 Chr 22:11*) and that Solomon be strong and of good courage (*1 Chr 28:20*). David also declared that God would make Solomon great, giving strength to all Israel (*1 Chr 29:12*). Three points about Solomon echo David’s blessings: Solomon **took firm control of his kingdom***,* . . . **God was with him***,* and God **made him very powerful.**\n\n
1:2	idm49210					 Solomon’s journey to **Gibeon***,* reported in *1 Kgs 3:4*, is here elaborated. This great public venture was closely associated with Solomon taking the throne. The event included military commanders and **clan leaders**. It took place in Gibeon because the Tabernacle was there, as was the great **bronze altar** where sacrifices were regularly offered.\n\n
1:3	idm49221					 **Tabernacle:** See *study note on Exod 27:21*.\n\n
1:7	idm49229					 See “*Solomon’s Wisdom*” Theme Note.\n\n
1:10	idm49236					 Solomon received **wisdom and knowledge** so he could **govern** (Hebrew *shapat*) well. The word *shapat**,* often rendered “judge” (e.g., in Judges), can also mean “govern.”\n\n
1:14	idm49247					 The illustration of Solomon’s wealth and power (expanded on in *9:25-28*) comes from the summary of his kingdom in *1 Kgs 10:26-29*. In Kings, the summary of Solomon’s wealth provided a transition to the negative aspects of Solomon’s rule (*1 Kgs 11*). Here, Solomon’s amassing of wealth showed the fulfillment of God’s promise (*2 Chr 1:12*).\n\n
1:16	idm49257					 If **Egypt** is the correct translation, this verse indicates disobedience by Solomon (see *Deut 17:16*). However, importing from *Muzur* in Anatolia was not prohibited.\n\n
2:1	idm49266					 The **Temple** is immediately introduced as the first priority among Solomon’s building projects, although the work actually began in the fourth year of his reign (*3:2*). Solomon used the intervening years to negotiate with King Hiram (*2:3*) for materials and skilled workers.\n\n
2:5	idm49275					 **a magnificent Temple:** The greatness of the Temple and the greatness of God were not of the same order, since **not even the highest heavens can contain** God.\n\n
2:8	idm49283					 The **cedar** is *Cedrus libani* (“cedar of Lebanon”), a tree renowned for its beauty, impressive height (sometimes reaching 100 feet), and fragrant wood. Kings from Egypt, Phoenicia, Assyria, Babylon, Persia, and Greece used cedar timber **from Lebanon** for building temples and palaces. • **Red sandalwood** was used to make supports for the Temple (possibly pillars or balustrades) as well as musical instruments (see *1 Kgs 10:11*). Often mentioned in ancient writings, the exact identity of this hard, reddish-brown wood is uncertain.\n\n
2:13	idm49294					 The skill and knowledge of **Huram-abi***,* a **master** (literally *wise*) **craftsman***,* was required for building the Temple. Huram-abi had expertise in metals (**gold, silver, bronze, and iron**), in **stone and wood***,* and in textiles (**purple, blue, and scarlet cloth and fine linen**). Similarly, God had chosen Bezalel as the master craftsman of the Tabernacle and had endowed him with wisdom to carry out the work (*Exod 31:1-5*).\n\n
2:17	idm49311					 The book of Kings explains that all those left from the seven nations were conscripted for labor. Further, no Israelites were conscripted, and Israelites were placed in charge of the **laborers** (*1 Kgs 9:20-23*).\n\n
3:1	idm49319					 Although in Chronicles **the Temple** is the central topic of Solomon’s reign, attention to its actual architecture and furnishings is considerably less than that found in Kings (e.g., *1 Kgs 6:2-10*).\n\n
3:1	idm49327					 While Kings emphasizes the time when **the Temple** was built, Chronicles places great emphasis on the Temple’s building site and the significance of the location. Geographically, it was **in Jerusalem on Mount Moriah***,* the place **where the** Lord** had appeared to David***;* it was **selected** under David’s authority, and it was the sacred place where the plague was stopped at the **threshing floor of Araunah the Jebusite**. Abraham bound Isaac in the land of **Moriah** (*Gen 22:2*), and tradition associated the Temple Mount as the place where the Lord provided for Abraham (*Gen 22:14*).\n\n
3:2	idm49345					 The book of Kings dates the beginning of the Temple construction in relation to the exodus from Egypt (*1 Kgs 6:1*). Chronicles consistently omits references to the Exodus, perhaps to emphasize the continuous and abiding bond between the people, the land, and God.\n\n
3:5	idm49352					 The interior of the Temple was finished with costly materials (see *1 Kgs 6:15-18*, *29*).\n\n
3:6	idm49360					 The gold from **the land of Parvaim** was the highest quality. The actual location of this place was unknown by the time of the earliest translators and might not have been known to the Chronicler either.\n\n
3:8	idm49367					 A special area was constructed at the extreme interior of the hall known as **the Most Holy Place** (the divine throne room). It might have been a sacred throne space within the long hall, or it might have been a secondary room within the main hall. The dimensions of *the Most Holy Place* were equally **30 feet** (20 cubits) in all directions. It might have rested on an elevated platform, as did the shrines of other temples, and a space might have existed between the room and the roof. *The Most Holy Place* was prepared as a repository for the Ark, which contained the terms of the covenant.\n\n
