Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:1	idm79236					 Ecclesiastes never uses **the Teacher**’s (Hebrew *Qoheleth*) name, but **King David’s son** probably refers to Solomon (see also *1:12*, *16*; *2:4-9*).\n\n
1:2	idm79248					 The Teacher begins by observing that each natural and historical activity is accentuated by its circular repetitive rhythm of coming and going, being and not being. This can lead to the despairing cry that **everything is meaningless**. The Teacher moves rapidly from subject to subject and finishes this section with the topic he started with, using a literary pattern that mirrors the circularity he describes in nature and in human history.\n\n
1:2	idm79255					 **Everything is meaningless . . . completely meaningless** (literally *vapor of vapors, everything is vapor*): Wherever “meaningless” occurs in this book, the Hebrew word *hebel* (“breath, vapor”) is behind it. The Teacher’s conclusion is that everything is a transitory and meaningless vapor.\n\n
1:3	idm79264					 The Hebrew idiom **under the sun** is used twenty-nine times in Ecclesiastes. The NLT sometimes renders it with expressions such as “here on earth” (*2:18*) or “in this world” (*2:20*). It suggests a view of life that is earthbound rather than reflecting God’s perspective.\n\n
1:4	idm79273					 **Generations come** and **go**, and individual lives seem to pass away without significance.\n\n
1:7	idm79281					 **the sea is never full . . . we are never satisfied:** This image introduces the unfulfilling nature of life.\n\n
1:11	idm79288					 **no one will remember:** We cannot count on anyone remembering anything that we think we have achieved.\n\n
1:12	idm79295					 The Teacher explores the relationships among wisdom, work, and pleasure.\n\n
1:13	idm79301					 **God has dealt a tragic existence:** The grim realities of human experience remind us of the Fall in Eden (*Gen 3*). Ecclesiastes does not dodge depressing descriptions of death, oppression, and loneliness; it meets them head-on and incorporates them into realistic conclusions.\n\n
1:14	idm79309					 **like chasing the wind:** Just as the wind quickly comes and goes, so does life.\n\n
2:1	idm79316					 The Teacher dismisses the pursuit of pleasure for its own sake as hollow. Even great achievements are a vapor.\n\n
2:3	idm79322					 The Teacher understood that trying to **cheer** himself with **wine** was **foolishness***,* but he did it **while still seeking wisdom**—i.e., during his attempt to understand how **to experience . . . happiness.** This proved to be empty (*2:11*). • **brief life in this world:** The totality of human experience is “a breath.”\n\n
2:4	idm79336					 Solomon’s building achievements were as small as porches and gates and as large as entire cities (see *1 Kgs 9:15-19*). These projects, meant primarily for his own pleasure, included the palace and its accompanying buildings (see *1 Kgs 7:1-12*).\n\n
2:4	idm79344					 Solomon’s **vineyards** are mentioned in *Song 8:11-12*.\n\n
2:7	idm79352					 Solomon’s **slaves, . . . large herds, and flocks** were numerous, and caring for them consumed vast resources (*1 Kgs 4:22-23*; *9:20-21*).\n\n
