Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:1	idm28147					 Two prologues (*1:1–2:5* and *2:6–3:6*) preface the body of the book. Both begin with **the death of Joshua** (*1:1*; cp. *2:8*), thus connecting Judges with the preceding narrative (*Josh 24:29-33*; cp. *Josh 1:1*; *2 Sam 1:1*).\n\n
1:1	idm28161					 The first prologue describes the unfaithfulness of the tribes in their failure to carry out Joshua’s farewell charge (*Josh 23*).\n\n
1:1	idm28168					 The request for divine guidance (see *Exod 28:30*; *Num 27:21*; *1 Sam 14:41*; *28:6*; cp. *Josh 7:14*) is a reminder that the Lord’s covenant with Israel included the taking of the land.\n\n
1:2	idm28179					 This verse, which is paralleled in the epilogues (*20:18*), shows the primacy of **Judah**. This tribe did not figure in the downward cycles of the judges (cp. *15:9-13*) after Othniel, the model judge who was linked to Judah through Caleb (*Josh 14:6*; *15:13*, *17*).\n\n
1:3	idm28191					 **The tribe of Simeon** virtually disappeared within the land assigned to Judah (*Josh 19:1*). • **fight against the Canaanites . . . help you conquer:** See *Josh 16:10*; *17:13*; *23:4-13*.\n\n
1:10	idm28203					 **Hebron** was the city nearest to Abraham’s dwelling by the oaks of Mamre (*Gen 13:18*); the patriarchs later lived and were buried there (*Gen 23:19*; *35:27*; *49:29-32*). It was originally called **Kiriath-arba** (“City of Arba”), after the legendary Arba, who was “a great hero of the descendants of Anak” and “Anak’s ancestor” (*Josh 14:15*; *15:13*). The Anakites, in turn, are identified with the dreaded Nephilites (*Num 13:33*; see *Gen 6:4*).\n\n
1:11	idm28219					 **Debir** or **Kiriath-sepher** (“City of the Book”): This major Anakite town of the hill country (*Josh 11:21*) is not firmly identified but is traditionally understood as being either southwest or east of Hebron.\n\n
1:14	idm28228					 **she urged him:** See *study note on Josh 15:18-19*.\n\n
1:16	idm28236					 The **Kenites** were a southern desert tribe associated with **Moses’** in-laws, who were also called Midianites (*Exod 18:1*; *Num 10:29*). Moses offered them a share in the covenant blessing (*Num 10:29-32*). At least one clan of Kenites accepted the offer and was adopted into Judah, though members of the clan later shifted allegiance to King Jabin of Hazor (*Judg 4:11*, *17*).\n\n
1:17	idm28249					 **completely destroyed:** See *Lev 27:28-29*. • **Hormah:** See *study note on Num 21:2-3*.\n\n
1:18	idm28259					 **Gaza, Ashkelon, and Ekron**, with Gath and Ashdod, later made up the five main cities of the Philistines (*3:3*).\n\n
1:19	idm28267					 Despite the Lord’s presence, the conquest was not completed because of **iron chariots** and lack of obedience (see *Josh 23:12-13*; *24:14*).\n\n
1:21	idm28276					 The tribes of Israel failed to keep the covenant; their complacency was rebellion against the Lord, as the rest of the book of Judges shows.\n\n
1:21	idm28282					 Though **the tribe of Benjamin** produced more than its share of heroes (e.g., Ehud, Saul), it was also the nadir of covenant unfaithfulness, in contrast to Judah (see *20:18*). Like Judah in its first battle (*1:4-8*), Benjamin faced challenges from a great people dwelling in a great city, but Benjamin settled for sharing the city with them. Reference to the Lord’s personal presence is absent (cp. *1:19*, *22*). The Jebusite city remained in Canaanite hands until David’s day. • The phrase **to this day** highlights either ongoing historical circumstances (here and *6:24*) or the survival of certain customs to a later time (*1:26*; *10:4*; *15:19*; *18:12*).\n\n
1:22	idm28299					 Two references to the descendants of Joseph (*1:22*, *35*) frame this litany of the northern tribes’ failures to drive out the enemy.\n\n
1:22	idm28307					 **The** Lord** was with** the descendants of Joseph (the tribes of Ephraim and Manasseh), but only in their united attack on Bethel, a place sacred to Israelite memories from the days of Jacob (*Gen 28:19*). They failed in attacks made separately (*Judg 1:27-29*). • **Bethel** is associated with the battle against Ai (*Josh 7:2*) and is listed in the summary statement of kings that Israel had defeated (*Josh 12:16*).\n\n
1:24	idm28321					 To **have mercy** (Hebrew *khesed*) has the overtones of making a covenant (see also *8:35*, “loyalty”).\n\n
1:26	idm28330					 **The land of the Hittites** was probably a general name for North Syria, not the Hittite Kingdom of Anatolia (now Turkey). Nothing is known of the new **Luz**.\n\n
1:27	idm28338					 This chain of Canaanite cities stretched from **Dor** on the Mediterranean to **Beth-shan** in the Jordan Valley and effectively cut off the northern tribes from those south of the Jezreel Valley. Likewise, a number of the cities listed in the south (*1:35*) probably cut Judah off from the northern tribes.\n\n
1:34	idm28347					 Dan’s failure to take the land represents total infidelity and led to the complete abandonment of a portion of the Promised Land (chs *17–18*).\n\n
