Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:1	idm108934					 Joel describes the devastating locust plague that afflicted Judah and Jerusalem.\n\n
1:1	idm108940					 **TheThe word of the** Lord** gave this message** (literally *The word of the* Lord* came*): The Lord, not the human prophet, was the ultimate source of these words. • The name **Joel** means “the Lord [Yahweh] is God.” Joel’s father, **Pethuel***,* is unknown apart from this verse.\n\n
1:2	idm108956					 **Hear this:** Joel summoned the inhabitants of the land to pay close attention to the prophetic word. • **Leaders** (literally *elders*): The prophet asked the community elders, **has anything like this happened before?** It hadn’t—this disaster was unique in the history of God’s people.\n\n
1:3	idm108966					 God’s people would **tell** future generations about what was taking place so that their descendants would benefit from the lessons they had learned (cp. *Deut 4:9*; *6:20-25*).\n\n
1:4	idm108975					 The disaster that had befallen Judah was a catastrophic plague of **locusts**. Some commentators have understood the four kinds of *locusts* mentioned here to represent four ancient empires that conquered Israel. Others have suggested that the words indicate four stages in the development of locusts. Most likely, the prophet was using multiple terms to emphasize the extent of the destruction wrought by wave after wave of the voracious insects.\n\n
1:5	idm108983					 **Wake up . . . Wail:** The prophet sought to arouse the people and alert them to the gravity of the locust plague.\n\n
1:7	idm108990					 The destructive power of locusts is well documented in both ancient and modern times. The insatiable insects consume annual crops such as grains and vegetables, and they destroy perennial fruit-bearing trees and vines, **leaving the branches white and bare**.\n\n
1:8	idm108997					 **Weep like a bride** (literally *a virgin*): Judah is compared to a young betrothed woman whose marriage is never consummated due to **the death of her husband**.\n\n
1:9	idm109006					 The locust plague threatened the people of Judah with starvation and brought the regular daily animal sacrifices and offerings of **grain** and **wine** at **the Temple** in Jerusalem to a halt (cp. *Exod 29:38-41*; *Num 28:2-8*).\n\n
1:10	idm109017					 The locusts destroyed the three essential staple crops of ancient Israel: **grain . . . grapes** and **olive oil**.\n\n
1:12	idm109025					 Drought had intensified the devastation of the locust plague; everything had **withered** and **dried up** (see also *1:19-20*). Spiritually, **the people’s joy** had **dried up** along with **the fruit trees**.\n\n
1:13	idm109037					 The **priests** were to lead **all the people** in public rites of mourning at **the Temple**. Their outward actions must be matched by authentic inward change (see *2:13*).\n\n
1:15	idm109047					 The locust plague was not simply a natural event, but a sign that **the day of the** Lord was near. Beginning with Amos in the 700s BC (*Amos 5:18*), the prophets had spoken of a future time when God would intervene in human history to judge the wicked and vindicate the righteous. • **destruction . . . from the Almighty:** The Hebrew text highlights the similar sounds of the word *destruction* (*shod*) and the title *the Almighty* (*shadday*).\n\n
1:17	idm109062					 Plague and drought had so reduced the food supply that **the barns** stood **empty**.\n\n
1:18	idm109070					 The inhabitants of Judah were hard pressed by the famine; even **sheep and goats***,* animals that can live on very meager forage, **bleat in misery** for lack of food.\n\n
1:19	idm109079					 Lord**, help us!** (literally *to you,* Lord*, I cry*): Joel responded to the plague with an earnest prayer. The people’s only recourse was to turn to the sovereign Lord of heaven and earth and appeal to his goodness; he alone could reverse their desperate situation.\n\n
1:20	idm109090					 All creation suffers because of human sin (*Gen 3:17-18*; *9:2*; *Rom 8:20-21*)—**even the wild animals cry out** to God. The Hebrew word translated “cry out” is the same word used in *Ps 42:1* of the deer that “longs” for streams of water. The beasts, urgently requiring their food and drink, set an example of how the people of Judah and Jerusalem should seek their Lord (cp. *Isa 1:3*).\n\n
2:1	idm109102					 Some regard this section as a second account of the locust plague described in ch *1*, but in ch *1*, the plague is in the past, whereas in this section, the verb tenses seem to depict it as a future event. Thus, others see it as a warning of yet another locust plague. Still other commentators have understood this passage as an apocalyptic description of the coming **day of the** Lord*,* using the language of a locust plague to describe an invading human army.\n\n
2:1	idm109113					 When an ancient city was attacked, the watchmen on the city wall would **raise the alarm** by blowing **the trumpet**, a ram’s horn instrument called a *shofar* (see also *2:15*), to call all the defenders to repel the enemy.\n\n
