Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:1	idm25097					 God confirmed **Joshua** as Israel’s leader and Moses’ successor. God made Abraham a specific promise to bring his descendants into possession of the land of Canaan (*Gen 12:7*; *15:7*; *17:8*). This promise was repeated to Moses (*Exod 3:6-8*; *13:3-5*; *Deut 1:6-8*; *6:10-19*). Now God was ready to fulfill his promise using Joshua. Joshua led Israel’s first generation of settlers into the Promised Land, and his victories against two Canaanite coalitions—first in the south and then in the north—opened the hill country for settlement by the Israelites.\n\n
1:1	idm25111					 **Moses** had died on Mount Nebo east of the Jordan (*Deut 34:1-5*).\n\n
1:3	idm25119					 Moses’ death did not end God’s presence with or guidance of Israel.\n\n
1:4	idm25125					 Ancient Israel’s southernmost settlement was in **the Negev***,* in the vicinity of Beersheba (*15:28*). Israel’s northernmost tribes settled in portions of **the Lebanon mountains***,* which made them neighbors of the Sidonians. • The **Hittites** were one of the subgroups that made up Canaan’s population (see *study note on 3:10*).\n\n
1:5	idm25138					 God promised never to **fail** or **abandon** Joshua, just as he had promised Moses (cp. *Deut 31:6-8*).\n\n
1:6	idm25147					 For emphasis, God told Joshua three times that he would need to **be strong and courageous** in order to **be successful** against the Canaanites, who outnumbered Israel. The people would also need to **be careful to obey all the instructions Moses** had given them if Israel were to settle the land, establish productive farms, and build homes, villages, and cities. The land is God’s land, as is the whole earth (*Ps 24:1*); God brought Israel into Canaan as tenants, not as owners (*Lev 25:23*).\n\n
1:6	idm25158					 **you are the one: **God delegated Joshua as the primary agent to fulfill the promise he had given to **their ancestors** (see *Exod 6:8*).\n\n
1:8	idm25167					 **This Book of Instruction** (Hebrew *torah*) probably refers to the book of Deuteronomy (see *Deut 4:44*; *29:21*; *30:10*; *31:9-12*). It includes Israel’s foundational law codes as well as God’s moral and spiritual instructions. • God commanded Joshua to think and speak of God’s instruction **day and night**—i.e., continually (cp. *Deut 6:6-7*; *17:18-20*).\n\n
1:9	idm25182					 As the Israelites entered Canaan, they would fight the worshipers of the Canaanite gods, but they were **afraid** these gods would grant the Canaanites victory in battle. In reassuring Joshua, God used his personal name **the** Lord (Hebrew *Yahweh**;* see *study note on Exod 3:15*) to remind Joshua that the Lord was more powerful than any false gods the Canaanites might invoke. • **your God is with you:** God’s continuous presence made it possible for Joshua to heed God’s instruction.\n\n
1:10	idm25195					 **commanded:** Joshua now began leading God’s people.\n\n
1:11	idm25202					 Because of fear and unbelief, the previous generation had refused to enter the Promised Land from the south forty years earlier (see *Num 13–14*). The current generation would now enter from the east, across **the Jordan River.**\n\n
1:12	idm25210					 **Reuben, Gad, and the half-tribe of Manasseh** had requested and received from **Moses** the conquered land east of the Jordan (*Num 32:33*).\n\n
1:13	idm25219					 God wanted the people of Israel to experience the spiritual, cultural, and emotional **rest** of a right relationship with him and each other, not just the physical rest of living in a secure and abundant land (see *Heb 4:1-11*).\n\n
1:14	idm25227					 The **warriors** of the 2½ tribes had promised to cross the Jordan with the rest of Israel to **help them** conquer their land (*Num 32:16-19*). Joshua reminded them of their obligation.\n\n
1:17	idm25236					 Israel often did not **obey . . . Moses**. However, the tribes living east of the Jordan did cross with the rest of Israel, and they did not return to their own land and homes until Joshua dismissed them (*22:6*).\n\n
1:18	idm25244					 Disobeying God’s chosen ruler was treason against God himself.\n\n
2:1	idm25250					 Like any good military commander, Joshua sent out **spies** or scouts to get information about his objective. • Because Israel planned to approach Canaan from the east, they could not bypass **Jericho**.\n\n
2:1	idm25258					 **Acacia Grove** was about eight miles east of the Jordan River on the plains of Moab, across from **Jericho** (see *Num 25:1*). • In **the house of a prostitute** strangers could avoid unwanted attention. According to tradition, Rahab was an innkeeper as well as a prostitute (Josephus, *Antiquities* 5.1.2). Other evidence from the ancient Near East suggests that women who owned and operated inns were often prostitutes.\n\n
2:2	idm25269					 The spies’ speech probably gave them away. Hebrew and Canaanite were both dialects of the same language but with differences in vocabulary and grammar.\n\n
2:3	idm25275					 Jericho’s **king** assumed **Rahab** was both loyal to the city and unaware of the men’s mission.\n\n
2:4	idm25283					 It is not necessary either to condone or condemn Rahab’s lying to the king’s messengers. She might have had no concept of any ethical standards God had given Israel. Or the higher ethical value of saving lives might supersede the normal requirement to be truthful.\n\n
2:6	idm25289					 The inner fibers of **flax** were processed to make linen. The first step involved laying out the flax stems to dry on the flat rooftop.\n\n
2:7	idm25296					 Medium-sized towns such as **Jericho** had one main **gate** made of two very large wooden doors reinforced with bronze. The gate was barred for the night and opened again in the morning. By shutting the gate immediately after the pursuers departed, the authorities took a sensible precaution: If the spies had not left the town as Rahab implied, they might still be found in Jericho during the night.\n\n
2:9	idm25304					 Rahab began to declare her faith in **the** Lord. • **made a dry path:** God had parted the waters of the **Red Sea** for Israel (*Exod 14:21-28*). • Israel had defeated **Sihon and Og** (*Num 21:21-35*). • **completely destroyed:** See *Lev 27:28-29*; *1 Sam 15:3*.\n\n
2:11	idm25320					 Although the people of Canaan incurred God’s judgment, Rahab’s declaration of faith (proven genuine by her aid to the spies) brought her into the people of God (*Heb 11:31*).\n\n
2:12	idm25327					 Rahab’s request demonstrated her faith in Israel and Israel’s God.\n\n
2:14	idm25333					 When Israel attacked Jericho, Joshua and the two spies kept their **promise** to spare Rahab (*6:22*).\n\n
2:15	idm25341					 Because **Rahab’s house** stood on the **town wall**, she could hide the men on the flat roof of her house (*2:6*) and let them out **through the window**, down the outer side of the wall.\n\n
2:16	idm25351					 The **hill country** of central Canaan began its steep rise just west of Jericho. Thinking that the two spies would head directly to Israel’s camp across the Jordan, the pursuers from Jericho would naturally head eastward. When the pursuers gave up, the spies could slip across the Jordan unhindered.\n\n
2:19	idm25358					 **it will not be our fault. But . . . we will accept the responsibility:** The spies used a standard formula to accept responsibility for any of Rahab’s family remaining with her in her house, but not for those who did not.\n\n
2:23	idm25365					 The spies’ report surely raised the spirits and morale of the Israelites.\n\n
3:1	idm25371					 Israel had camped at **Acacia Grove** since before Balaam’s oracles (*Num 22–24*).\n\n
3:3	idm25379					 **The Ark of the Covenant of the** Lord was God’s dwelling place among the Israelites and symbolized his throne. Whenever Israel moved, a contingent of priests carried the Ark before them (*Exod 25:13-15*; *Num 10:33-36*).\n\n
3:4	idm25389					 **Stay about half a mile behind them:** God did not want his people to take his presence for granted. They were to acknowledge his holiness with reverence, respect, and awe.\n\n
3:5	idm25396					 **Purify yourselves:** They had to separate themselves from anything unclean that would bar an Israelite from coming into God’s presence (cp. *Exod 19:9-20*; *Lev 11:44*).\n\n
3:7	idm25405					 To reassure the people that he had not brought them this far to abandon them, God made Joshua** a great leader** like **Moses**.\n\n
3:8	idm25413					 As they crossed **the Jordan River,** the Ark led the way until the feet of the priests entered the water; the priests were to stand in the Jordan, not on the dry land. By carrying the Ark into the water first, the obedient priests would show their faith (cp. *Jas 2:18*).\n\n
3:10	idm25421					 **Today you will know:** The Israelites who were adults when Moses led Israel out of Egypt had died. The people now entering Canaan with Joshua had taken their place. The events about to unfold would signify God’s presence with them and demonstrate his intention to fulfill his promises. • In Canaan, the Israelites would be living among pagan neighbors and might be tempted to join them in worshiping their gods and goddesses. None of these false gods were worthy of worship. By contrast, the Lord is **the living God,** and he was present among the Israelites. • The **Canaanites** and **Amorites** were distinct peoples, but their names sometimes indicated all the pre-Israelite peoples of Canaan. The **Hittites** were related to the earlier Hittite Empire of Asia Minor that controlled much of Canaan. The **Jebusites** were from the city-state of Jerusalem, which Israel did not conquer fully until David’s time. Little is known about the other three groups.\n\n
3:11	idm25433					 Because **the Ark of the Covenant** went ahead of the Israelites, they knew that **the Lord of the whole earth** was leading them into Canaan. Their God was not a limited local deity.\n\n
3:12	idm25441					 Joshua told the people to **choose twelve men** but did not reveal what this group of men would be doing (*4:2-8*).\n\n
3:13	idm25449					 Even though the Jordan was in its spring flood stage, **the water** stopped abruptly, an obvious miracle.\n\n
3:15	idm25456					 **The Jordan was overflowing its banks** as a result of the spring runoff of the winter’s rainfall and snowfall, especially from Mount Hermon.\n\n
3:16	idm25463					 Two wonders occurred. First, **the water . . . began backing up** above **Adam** (about twenty-five miles away). Second, the entire bed of the river was dry, as remaining water drained to **the Dead Sea**.\n\n
3:17	idm25472					 The repetition of the phrase **on dry ground** emphasizes that God performed a miracle.\n\n
4:2	idm25479					 The **twelve men** represented Jacob’s twelve sons. The tribe of Levi was not counted because the Levites settled in designated cities among the other tribes (*Gen 49:5-7*; *Num 1:49-52*; *18:20*). However, the number of tribes remained at twelve because Joseph’s two sons (Ephraim and Manasseh) were accounted as separate tribes (*Gen 48:5*).\n\n
4:5	idm25490					 Carrying the **stone** on a **shoulder** implies that the men each chose **stones** weighing some 100 pounds.\n\n
4:6	idm25499					 Joshua twice (*4:21*) told the Israelites to prepare to answer **future** generations. The stone **memorial** would serve as a teaching aid.\n\n
