Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:1	idm12303					 The first major section of Leviticus deals with the institution of the sacrificial system and the priesthood. The sacrifices were either for atonement (the whole burnt offering, sin offering, and guilt offering) or for worship (grain offering and peace offering). Each one taught theology through a hands-on approach. Priests were required to officiate in the sacrificial worship at the Tabernacle, to instruct God’s people in the revelation given to Moses at Sinai, and to represent the people before God, such as on the Day of Atonement (ch *16*). Priests were provided for by receiving a portion of the offerings.\n\n
1:1	idm12310					 **The** Lord** called to Moses from the Tabernacle:** Leviticus is part of the ongoing narrative of the Pentateuch (*Gen 1:1*—*Deut 34:12*). It is part of the history of God’s saving acts: God chose Israel to be his people, delivered them from slavery in Egypt, entered into a covenant relationship with them, and guided them through the desert to the Promised Land. Specifically, Leviticus picks up with events recorded in *Exod 40:34-38*, when construction of the Tabernacle is completed. It has been dedicated, and the Lord has filled it with his glory. Now the Lord gives Moses instructions for conducting worship at the Tabernacle. • The **Tabernacle** (literally *Tent of Meeting;* see *study note on Exod 27:21*) was an earthly representation of God’s palace. Inside the Most Holy Place, the Ark of the Covenant represented God’s throne (*Exod 40:1-33*). The Lord’s glory resided between the outstretched wings of the cherubim. There he would meet with Israel to communicate his will to them (see *Exod 25:22*).\n\n
1:2	idm12327					 **When:** This word introduces a major category (the process of presenting an offering), followed by a series of conditions introduced by **if** (*1:3*, *10*, *14*). This *when/if* pattern is generally followed through all the major offerings described in *1:2–6:7*. • **offering** (Hebrew *qorban**;* see *study note on Mark 7:11*) is a general term referring to all kinds of offerings and gifts, including the various offerings described in *Lev 1–7*.\n\n
1:3	idm12345					 **burnt offering** (Hebrew *‘olah**,* “what goes up”): The Hebrew word implies the ascent of **the animal** in flame and smoke. Except for its hide, given in payment to the officiating priest (*7:8*), this offering was burned completely on the altar (*1:9*). Its purpose was to satisfy God’s wrath against sin, ceremonially cleansing the worshiper and restoring him or her to fellowship with God (cp. *Rom 3:25*; *8:3*; *2 Cor 5:18-21*). The whole burnt offering occurs first in this list of offerings (*Lev 1–7*), providing a pattern for offerings that follow. It is the most common and most general atoning offering.\n\n
1:3	idm12361					 **male with no defects:** God allowed female and slightly deformed animals for certain types of non-atoning offerings (see *3:1*; *4:27-31*; *22:23*), but not for the whole burnt offering. In the dry, brush-encrusted hills of southern Palestine, cattle were much more difficult to raise than sheep or goats. This meant a bull without defect was an animal of great value. Centuries later, the prophet Malachi confronted the people for offering sick and lame animals instead of those without defect (*Mal 1:6-14*).\n\n
1:4	idm12372					 **Lay your hand on the animal’s head:** The sacrificial animal represented the worshiper in the ceremony (*4:4*, *15*, *24*, *29*, *33*; *16:21*). This act signified that the animal’s death represented the death of its owner. In the ritual for the Day of Atonement, it signified that the sins of the owner were transferred to the animal (*16:20-22*). With the peace offering (*3:2*, *8*, *13*), the act seems to have indicated ownership of the animal being sacrificed. • The phrase **in your place** may mean “in payment for sin” (sometimes called *expiation*) or “as a substitute for the sinner’s death” (sometimes called *propitiation*). • **to purify you, making you right with him** (or *to make atonement for you*): Although older commentaries describe this process as “covering over” sin, recent scholarship defines it as “blotting out, erasing, or cleansing from” sin. The concept involves satisfying God’s wrath against sin, ceremonially cleansing the worshiper, and restoring fellowship with God in the community of God’s people.\n\n
1:5	idm12394					 **Aaron’s sons:** The descendants of Levi, Moses’ own tribe, were divided into two categories: (1) priests, who were descendants of Aaron, the first high priest; and (2) Levites, who served in subordinate roles (*Exod 28:1-4*; *Num 18:1-7*). The instructions given here applied to later generations as well. • The **blood** was a symbol of life, not of death. The Israelite system of sacrifice was based on the principle of substitution, and the shedding of sacrificial blood was essential for atonement. It represented sacrificing the life of the animal as a substitute for the life of the worshiper (*Lev 17:10-14*; *Heb 9:22*). The blood of Jesus Christ was shed as the ultimate sacrifice for sin (*Heb 9:11-14*). • The **altar** of burnt offering was located in the east end of the courtyard, outside the Tabernacle but inside the entrance to the courtyard (*Exod 40:6*, *29*).\n\n
1:6	idm12410					 The entire animal was to be burned, except for the **skin***,* which was the priest’s share of the offering (*7:8*).\n\n
1:8	idm12419					 The Hebrew word translated **fat** describes the suet, or hard fat, from around the kidneys and loins. This specific term occurs only here and in *1:12* and *8:20*. All fat—not just this special fat—was considered God’s portion (*3:14-17*; *7:23-25*; see *1 Sam 2:15-17*). Only the whole burnt offering was entirely consumed on the altar. With other offerings, the fatty portions and certain internal organs were burned; the rest belonged to the officiating priests and sometimes to the worshiper (*Lev 7:11-18*).\n\n
1:9	idm12432					 The offering was **washed with water** to remove dirt or debris that might contaminate the offering. Washing was also part of purification from ritual uncleanness, a prerequisite for Tabernacle service (*6:27*; *11:28*). • **special gift:** The Hebrew term (*’isheh*) has traditionally been rendered “offering made by fire.” Although the offering was to be burned (*1:13*, *17*), recent scholarship suggests that the word had the more generic meaning of “gift.” • **pleasing aroma to the** Lord (literally *a restful odor;* also in *1:13*, *17*): Pagan people of the ancient Near East believed that their gods smelled the offerings because they needed to eat them to sustain their lives. Although God’s response is sometimes represented in language that reflects the cultural setting (e.g., *21:6*; *Num 28:2*), the Bible is clear that God did not need offerings as food (*Ps 50:9-13*). Instead, they pleased him as sincere offerings for the purpose of atonement.\n\n
1:10	idm12453					 Permission to offer lesser animals was to make the animal, and therefore atonement, more affordable to common Israelites. The method of offering these animals closely parallels the offering of bulls outlined in *1:3-9*.\n\n
1:14	idm12460					 Birds were plentiful, cheap, and easy to catch. This meant that atonement and worship through sacrifices were not only for the rich and privileged; the poor were also included (see also *5:7*; *12:8*; see *Luke 2:24*).\n\n
1:17	idm12469					 **tear . . . without tearing it apart:** Cutting larger animals into pieces (*1:6*, *12*) probably reflects the ancient rite of covenant-making, in which the participant passed between the two halves of a sacrificed animal (see *Gen 15:10*). Because of their small size, birds were not cut in half. If it was necessary to pass between them, they were arranged in pairs.\n\n
2:1	idm12479					 The **grain offering** (Hebrew *minkhah,* “gift, present”) was a way to express worship to the Lord through a gift, recognizing him as Lord over the life of the worshiper.  The grain offering was to accompany each whole burnt offering (*Num 28:3-6*, *12-13*), sin offering (*Num 6:14-15*), and peace offering (*Lev 9:4*; *Num 6:17*). The grain offering supplied the priest with bread for his daily sustenance, because no farmland was allocated to priests.\n\n
2:1	idm12492					 **Choice flour** was fine wheat flour (in contrast with common barley flour). See also *1 Kgs 4:22*; *Ezek 16:13*, *19*. • Israelites used **olive oil** as shortening in their cooking, as lamp fuel, and for medicinal and cosmetic purposes. Accordingly, it was associated with the rich produce of the land and with God’s provision (*Deut 8:8*). • Like choice flour, **frankincense** was frequently connected with the Tabernacle (*Exod 30:34*; *Lev 24:7*) or the Temple (*1 Chr 9:29*). This fragrant tree resin was also used by individuals on special occasions (*Song 3:6*; *Matt 2:11*). It was a primary ingredient of the holy incense burned in the Holy Place as a tangible expression of worship (*Exod 30:34-38*).\n\n
2:2	idm12511					 The **representative portion** of the grain offering was burned on the altar to remind the worshiper that the whole offering belonged to God.\n\n
2:3	idm12518					 **rest of the grain offering:** A portion of the fire offerings was generally reserved for the priest as food (see *6:16-17*). Exceptions included the whole burnt offering (the priest received only the hide; see *7:8*), offerings given by the priest for himself (*4:3-12*; *6:19-23*), or offerings made for the entire community (*4:13-21*). In these cases, the offering was to be entirely burned. The grain offering provided the priests with bread for their diet. • **most holy** (Hebrew *qodesh qodashim**,* “holy of holies”): Both God and what belongs to him are holy. “Most holy” designates the priestly share as taken from the holy offering and reserved for a special function. This description is used for the priest’s share of any gifts dedicated to the Lord (*Num 18:8-10*).\n\n
2:4	idm12534					 A large ceramic **oven** was placed in a hole, and around it a fire was kindled. Once the oven was hot, the flat bread baked against the inside of its wall. • **without any yeast:** See *study note on 2:11*; see also *Exod 12:8*.\n\n
2:5	idm12544					 A **griddle** was a flat stone or clay surface propped above a fire and heated. Later griddles were made of metal (*Ezek 4:3*).\n\n
2:7	idm12552					 Dough **prepared in a pan** was fried with **oil** until crisp.\n\n
2:11	idm12560					 **yeast:** The bread commonly eaten in biblical times was comparable to modern sourdough. The substance that is often called “leaven” consisted of wild yeast spores mixed into moist dough or a flour mixture. The yeast would grow and cause the dough to ferment, souring and raising it. A reserved portion of the sour dough would be kneaded into subsequent batches (*Matt 13:33*). Unleavened bread was required for the Passover (*Exod 12:8*), in remembrance of Israel’s bondage in Egypt (*Deut 16:3*) and their speedy departure from that land (*Exod 12:34*; *13:3*). Following the Exodus, unleavened bread acquired the status of altar bread. Leavened bread was not to be burned on the altar. • **honey:** The Hebrew word (*debash*) can also refer to fruit nectar. The reason for its exclusion is not stated, but perhaps the frequent use of honey in pagan offerings, particularly to gods of the underworld, was a contributing reason. If the word refers to fruit nectar, its association with wine and fermentation may have linked it with yeast, making it ineligible to be burned on the altar. However, both honey and yeast were allowed as part of an offering of first crops (*Lev 2:12*). Loaves of bread made with yeast were to be presented with thank offerings (*7:13*) and as a gift to the priest in the Festival of Harvest (*23:17*). In the New Testament, yeast becomes a spiritual metaphor, playing on its sour taste and on its tendency to spread (*Matt 16:6*, *11*, *12*; *1 Cor 5:6-8*; cp. *Matt 13:33*).\n\n
2:12	idm12582					 **offering of the first crops:** This offering (called “firstfruits” in many translations) was brought from the first part of the harvest (*23:15-21*; *Num 28:26-31*). Like the representative portion of the grain offering, this offering acknowledged that the entire harvest belonged to God (*Lev 23:10-11*; *Exod 22:29*; *23:19*; *34:26*; *Num 15:18-20*; *Deut 18:4-5*; *26:1-2*). It further recognized that the land itself, not just its products, belonged to God; Israel was merely the tenant (see *Lev 25:23*).\n\n
2:13	idm12599					 In ancient times, **salt** represented permanence because it preserved food. A covenant of salt (see study notes on *Num 18:19*; *2 Chr 13:5*) denoted an enduring covenant that was renewed with successive generations.\n\n
3:1	idm12608					 The **peace offering** (Hebrew *shelem*) expressed worship through fellowship with the Lord and with others. The Hebrew word is from the same root as *shalom**,* which speaks of wholeness, well-being, harmony, and peace. *Shalom* means more than a cessation of hostilities between God and the worshiper; it implies a bond of harmonious fellowship. The peace offering was therefore a shared meal celebrating fellowship with God and others (cp. *Exod 18:12*; *24:9-11*; *1 Sam 9:15-24*). It could be presented as an expression of thanks (*Lev 7:12-15*), as a voluntary offering, or in fulfillment of a vow (*7:16-18*; *22:21*). Peace offerings often followed whole burnt offerings (e.g., *1 Kgs 9:25*), showing that fellowship with God follows atonement. When we have experienced atonement through Christ, we are able to be at peace with God and with each other (see *Acts 2:42*; *10:36*; *Rom 5:1*; *1 Cor 10:16*; *11:17-34*; *2 Cor 5:18-21*).\n\n
3:1	idm12632					 **a male or a female:** The whole burnt offering allowed only the use of male animals because it made atonement (*1:3*, *10*). The less formal peace offering permitted both male and female animals (see also *4:28*, *32*). • **no defects:** The sacrificial animals had to be healthy. The only exception was the voluntary offering, for which a slight blemish was permissible (*22:23*).\n\n
3:4	idm12645					 **kidneys . . . lobe of the liver:** The Israelites saw the kidneys as organs of understanding, much like how we think of the brain (“I am overwhelmed [literally *my kidneys are consumed*],” *Job 19:27*; “heart,” *Pss 7:9*; *16:7*; *Jer 12:2*; *Lam 3:13*; “motives,” *Ps 26:2*; *Jer 17:10*; “thoughts,” *Jer 11:20*; *20:12*). The liver represented life and vitality, similar to how we think of the heart (*Prov 7:23*; “spirit,” *Lam 2:11*).\n\n
