Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:1	idm129599					 Luke begins his Gospel with a formal preface in the style of the best Greek writers of his day. These four verses are some of the finest literary Greek in the New Testament.\n\n
1:1	idm129605					 **Many people have set out to write accounts:** Luke was not the first to put the history of Jesus into written form. Most scholars believe that Luke used Mark’s Gospel and other written and oral sources in his writing. • **fulfilled:** This word can simply mean “accomplished,” but Luke is thinking of Jesus’ fulfillment of Old Testament promises (*4:21*; *24:44*).\n\n
1:3	idm129615					 As a good historian, Luke **carefully investigated everything** in the history of Jesus **from the beginning** in order to present a reliable historical account. • **an accurate account:** Some versions translate this phrase “in consecutive order,” but it refers to an orderly or carefully written account, not to chronological sequence. • The name **Theophilus** means “loved by God” or “one who loves God”; it is probably a personal name, not a descriptive name. Different theories identify him as (1) an influential unbeliever, (2) a new convert needing instruction, (3) the judge overseeing Paul’s trial (the book of Acts ends with Paul imprisoned in Rome, awaiting trial), or (4) the patron who sponsored Luke’s writing project. The last possibility is the most likely, as it was common to dedicate a literary work to a financial patron and the Greek word translated **most honorable** indicates someone of high social status.\n\n
1:5	idm129626					 Luke’s first two chapters give an account of Jesus’ birth and introduce key themes that will appear later in Luke–Acts. The announcements and birth stories for Jesus and John the Baptist run side by side, showing their parallel roles in bringing God’s salvation. At each point, Jesus is shown to be greater. John is the forerunner announcing Jesus’ coming; Jesus is the Savior.\n\n
1:5	idm129632					 **Herod was king of Judea:** See “*Herod the Great*” Profile. • **a Jewish priest named Zechariah:** The priests were descendants of Aaron, Moses’ brother (*Exod 28:1*). • **the priestly order of Abijah:** See *study note on Luke 1:8-9*; see also *1 Chr 24:10*. • **Elizabeth was also from the priestly line of Aaron:** It was considered especially pious for a priest to marry a woman from a priestly family.\n\n
1:7	idm129646					 **Elizabeth was unable to conceive:** Childbearing was viewed as the highest calling for a woman, and infertility brought social stigma and shame. God miraculously intervened in the lives of various Old Testament women so they could bear children (*Gen 18:10-12*; *25:21*; *30:22-23*; *Judg 13*; *1 Sam 1:1-28*).\n\n
1:8	idm129658					 **his order was on duty that week . . . he was chosen by lot:** It was common in Old Testament times to cast lots (similar to throwing dice) to determine God’s will (*1 Chr 26:13-16*; *Neh 11:1*; *Prov 16:33*; *Jon 1:7*). There were twenty-four orders of priests (*1 Chr 24:1-19*) that took turns in the Temple, and lots were cast to determine which priest would serve in the sanctuary. There were a large number of priests, so this privilege might come only once in a priest’s lifetime. The angel appeared at the most sacred moment of Zechariah’s life. • **to enter the sanctuary of the Lord and burn incense:**. Luke uses the word here translated **sanctuary** (Greek naos) for the Temple building, not the whole Temple grounds, which he calls hieron (*Luke 2:27*). The Temple building included the Holy Place and the Most Holy Place (see *Heb 9:1-5*). The priests burned incense twice a day in the Holy Place.\n\n
1:12	idm129676					 **Zechariah was shaken and overwhelmed with fear:** Fear and awe are common reactions when someone sees an **angel** or experiences the presence of God (*Judg 6:22-23*; *13:22*; *Isa 6:5*). The person is often reassured by a saying such as **Don’t be afraid**. • **you are to name him John:** John means “the Lord has shown favor.” This favor came to Elizabeth and Zechariah through their son and to the Israelite nation through the Messiah, whose coming John would announce.\n\n
1:15	idm129689					 **He must never touch wine or other alcoholic drinks:** In the Old Testament, abstaining from alcohol was part of the Nazirite vow of special dedication to God (see *Num 6:1-21*). This vow was usually temporary (see *Acts 18:18*; *21:23*, *26*); for some individuals such as Samson (*Judg 13:4-7*), Samuel (cp. *1 Sam 1:11*), and John the Baptist, it was a lifelong commitment. • **filled with the Holy Spirit, even before his birth:** See *Luke 1:41*, *44*.\n\n
1:17	idm129705					 **He will be a man with the spirit and power of Elijah:** The prophet Malachi predicted that God would send Elijah before the time of God’s salvation (see *Mal 3:1*; *4:5-6*). John fulfilled this role by preparing the way for the Lord’s coming.\n\n
