Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:1	idm52966					 Upon hearing about Jerusalem’s ruined condition, Nehemiah prayed for God’s grace (*1:1-11*) and asked the king to send him to Jerusalem (*2:1-8*). When he arrived, he challenged the people to rebuild the city’s wall (*2:11-20*).\n\n
1:1	idm52975					 **Artaxerxes** I reigned over Persia from 465 to 424 BC. • **The fortress of Susa** was the Persian king’s winter palace.\n\n
1:2	idm52984					 **Hanani** might have been one of Nehemiah’s blood **brothers***;* this word in Hebrew can also mean “fellow countryman” (e.g., *Deut 1:16*, “fellow Israelite”). • **the Jews who had returned:** See *Ezra 2:64-65*; *8:1-14*.\n\n
1:3	idm52997					 **The wall of Jerusalem has been torn down:** This probably refers to a recent setback in Jerusalem (see *Ezra 4:6-23*), not to the Babylonian conquest in 586 BC. • **disgrace:** Foreigners could gloat about the destroyed city, using it as evidence that Israel’s God was too weak to protect it (cp. *Joel 2:17*; *Mic 7:8-10*).\n\n
1:4	idm53009					 Nehemiah fervently **mourned, fasted, and prayed** for about four months (cp. *1:1*; *2:1*), deeply concerned for Jerusalem.\n\n
1:5	idm53018					 Nehemiah’s prayer includes praise (*1:5*), confession (*1:6-7*), remembrance of God’s promises (*1:8-9*), and petition (*1:10-11*). Nehemiah recognized that Israel’s current situation was not a failure of God’s **covenant of unfailing love**. Israel’s persistent sin had brought about the punishments entailed in the covenant.\n\n
1:6	idm53029					 **I confess that we have sinned:** Like Ezra (*Ezra 9:5-15*) and Daniel (*Dan 9:4-19*), Nehemiah identified with the sins of his people, made no excuses, and accepted both his individual responsibility and the responsibility of the larger covenant group that had sinned against God.\n\n
1:8	idm53038					 Nehemiah recalls God’s curse on sin and his promise of restoration (*Deut 4:25-31*; *30:1-5*). • **The place . . . for my name to be honored** was Jerusalem.\n\n
1:10	idm53047					 Nehemiah alludes to God’s long-standing covenant relationship with the Israelites: He had **rescued** them in the Exodus (*Deut 9:29*) and made them his **servants**.\n\n
1:11	idm53056					 **making the king favorable to me:** Nehemiah knew God could influence the king’s **heart** to **be kind** to Nehemiah. • As **cup-bearer** Nehemiah tasted the king’s wine to make sure it was not poisoned, which provided him daily access to King Artaxerxes.\n\n
2:1	idm53066					 **never . . . sad in his presence:** A servant was not to let his personal life interfere with serving the king.\n\n
2:2	idm53073					 Nehemiah **was terrified** because he had let his sadness show, and he did not know how the king would respond if he told him the reason for his sorrow (King Artaxerxes had previously ordered that Jerusalem not be rebuilt, *Ezra 4:21-22*). Nehemiah was not putting on an act; his deep mourning showed despite his best efforts to conceal it.\n\n
2:3	idm53081					 Nehemiah affirmed his loyalty with the customary **long live the king** (cp. *Dan 2:4*), yet he did not deny his sadness.\n\n
2:4	idm53089					 **With a prayer:** The king was subject to **the God of heaven***,* and Nehemiah needed God’s guidance and provision as he made his request.\n\n
2:5	idm53098					 **send me to Judah to rebuild the city:** Artaxerxes’ openness to this proposal seems surprising in light of Jerusalem’s history of rebellions against Persia (*Ezra 4:17-23*). The king might have viewed Nehemiah’s plan as a way to solidify his own control over a troubled area of his empire.\n\n
2:6	idm53106					 **How long will you be gone?** (see *5:14*): Nehemiah probably requested a short period of time initially, later asking for an extension.\n\n
2:8	idm53114					 **Temple fortress** might refer to the Tower of Hananel or the Tower of the Hundred. • **the gracious hand of God was on me:** Nehemiah knew that **the king granted these requests** because God was sovereignly guiding the king to do so.\n\n
2:9	idm53123					 Because Nehemiah was a government official, he had an armed escort of **officers and horsemen** for his trip to Jerusalem (cp. *Ezra 8:22*).\n\n
2:10	idm53131					 Some of the local, non-Jewish officials **were very displeased** because rebuilding the walls of Jerusalem would change the balance of political power in favor of the Jews. • **Sanballat** was the main leader of opposition to Nehemiah’s rebuilding efforts. • **the Horonite:** He was probably from Upper or Lower Horon (Beth-horon, *Josh 16:3*), approximately 12 miles (19 kilometers) northwest of Jerusalem. Sanballat’s name might indicate that he was a descendant of the Assyrian people imported by Sargon II after the fall of Samaria (*2 Kgs 17:24*). A document discovered in Egypt indicates that he eventually became governor of Samaria in 408 BC.\n\n
